timestamp,algorithm_name,cost_function,use_threshold,budget,num_nodes,num_edges,seed_set,num_seeds,total_cost,execution_time,additional_info
2025-06-15T11:20:58.122284,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,523,4039,88234,"[483, 713, 730, 1079, 1341, 1390, 1398, 1425, 1427, 1620, 1683, 1714, 1813, 1861, 1912, 1926, 1959, 1970, 2069, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2323, 2334, 2361, 2381, 2404, 2446, 2576, 2579, 2615, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 3084, 3108, 3247, 3288, 3304, 3325, 3366, 3397, 3969, 3982]",57,514,2.138556480407715,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:20:58.409225,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,623,4039,88234,"[483, 713, 730, 1079, 1341, 1390, 1398, 1425, 1427, 1610, 1620, 1683, 1714, 1813, 1827, 1861, 1912, 1926, 1959, 1970, 2069, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2576, 2579, 2615, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 3084, 3108, 3247, 3288, 3304, 3325, 3366, 3397, 3969, 3982]",61,613,0.285003662109375,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:20:58.526851,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,723,4039,88234,"[483, 713, 730, 1079, 1341, 1390, 1398, 1425, 1427, 1610, 1620, 1683, 1714, 1813, 1827, 1861, 1912, 1926, 1959, 1970, 2069, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2576, 2579, 2615, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 3084, 3108, 3247, 3288, 3304, 3325, 3366, 3397, 3969, 3982]",61,613,0.11563777923583984,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:20:58.785137,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,823,4039,88234,"[483, 713, 730, 1079, 1341, 1390, 1398, 1425, 1427, 1610, 1620, 1683, 1684, 1714, 1813, 1827, 1861, 1888, 1912, 1926, 1959, 1970, 2069, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2576, 2579, 2615, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 3084, 3108, 3247, 3288, 3304, 3325, 3366, 3397, 3969, 3982]",63,809,0.25609588623046875,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:20:59.186911,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,923,4039,88234,"[483, 713, 730, 1079, 1230, 1275, 1341, 1388, 1390, 1398, 1425, 1427, 1610, 1620, 1683, 1684, 1714, 1813, 1827, 1861, 1888, 1912, 1926, 1959, 1970, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3969, 3982]",70,923,0.3997809886932373,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:20:59.372996,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1023,4039,88234,"[123, 483, 713, 730, 1079, 1230, 1275, 1341, 1388, 1390, 1398, 1425, 1427, 1610, 1620, 1683, 1684, 1714, 1813, 1827, 1861, 1888, 1912, 1926, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3969, 3982]",72,971,0.18210339546203613,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:20:59.741330,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1123,4039,88234,"[123, 483, 713, 730, 1079, 1083, 1230, 1275, 1341, 1388, 1390, 1398, 1425, 1427, 1598, 1610, 1620, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3900, 3969, 3982]",77,1119,0.36434459686279297,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:00.098521,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1223,4039,88234,"[123, 483, 713, 730, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3900, 3969, 3982]",81,1219,0.355196475982666,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:00.378245,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1323,4039,88234,"[123, 211, 481, 483, 713, 730, 896, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3610, 3900, 3969, 3982]",87,1307,0.2767355442047119,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:00.725122,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1423,4039,88234,"[123, 211, 481, 483, 484, 713, 730, 896, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3900, 3969, 3982]",90,1392,0.34488582611083984,"{""note"": ""Running on facebook_combined.txt with cost2""}"
2025-06-15T11:21:00.909474,CSG,"cost2: random int in [min(cost1), max(cost1)]",False,1523,4039,88234,"[123, 211, 481, 483, 484, 713, 730, 896, 947, 1079, 1083, 1230, 1275, 1341, 1383, 1388, 1390, 1398, 1425, 1427, 1551, 1598, 1610, 1620, 1637, 1683, 1684, 1714, 1729, 1813, 1827, 1861, 1888, 1912, 1926, 1941, 1959, 1970, 1993, 2069, 2143, 2152, 2161, 2169, 2173, 2206, 2214, 2224, 2229, 2292, 2313, 2320, 2323, 2334, 2361, 2381, 2404, 2434, 2446, 2501, 2543, 2576, 2579, 2615, 2616, 2617, 2629, 2636, 2660, 2749, 2799, 2849, 2850, 2863, 2887, 2987, 2991, 3084, 3108, 3114, 3247, 3288, 3304, 3325, 3366, 3397, 3434, 3610, 3900, 3969, 3982]",91,1424,0.18036103248596191,"{""note"": ""Running on facebook_combined.txt with cost2""}"
